q1,q2,q3,q4,q5,q6,q7
-0.598418893479,0.887832211450,0.000000000000,-0.206201826987,0.000000000000,2.047558615152,0.885110970717
-0.592186679550,0.860532544019,0.000000000000,-0.256928662511,0.000000000000,2.024131447060,0.885110970717
-0.585901766302,0.837667586797,0.000000000000,-0.298799322107,0.000000000000,2.005125744687,0.885110970717
-0.579563985293,0.817572010429,0.000000000000,-0.335145389701,0.000000000000,1.988875253460,0.885110970717
-0.573173182223,0.799427058569,0.000000000000,-0.367605319472,0.000000000000,1.974560275549,0.885110970717
-0.566729217524,0.782757985770,0.000000000000,-0.397129559871,0.000000000000,1.961705107949,0.885110970717
-0.560231966954,0.767260356296,0.000000000000,-0.424327955778,0.000000000000,1.950004341516,0.885110970717
-0.553681322207,0.752725120446,0.000000000000,-0.449619595602,0.000000000000,1.939247937541,0.885110970717
-0.547077191516,0.739001415005,0.000000000000,-0.473307210116,0.000000000000,1.929284028469,0.885110970717
-0.540419500271,0.725976178483,0.000000000000,-0.495617941658,0.000000000000,1.919998533449,0.885110970717
-0.533708191639,0.713562128499,0.000000000000,-0.516727389040,0.000000000000,1.911303136051,0.885110970717
-0.526943227189,0.701690254363,0.000000000000,-0.536774622020,0.000000000000,1.903127777207,0.885110970717
-0.520124587515,0.690304909758,0.000000000000,-0.555871995537,0.000000000000,1.895415748295,0.885110970717
-0.513252272866,0.679360482415,0.000000000000,-0.574111809942,0.000000000000,1.888120361233,0.885110970717
-0.506326303774,0.668819062025,0.000000000000,-0.591570974707,0.000000000000,1.881202616857,0.885110970717
-0.499346721680,0.658648763139,0.000000000000,-0.608314362147,0.000000000000,1.874629528304,0.885110970717
-0.492313589565,0.648822491164,0.000000000000,-0.624397274890,0.000000000000,1.868372887536,0.885110970717
-0.485226992567,0.639317016151,0.000000000000,-0.639867297751,0.000000000000,1.862408339688,0.885110970717
-0.478087038604,0.630112265337,0.000000000000,-0.654765712058,0.000000000000,1.856714676194,0.885110970717
-0.470893858981,0.621190774357,0.000000000000,-0.669128592598,0.000000000000,1.851273286635,0.885110970717
-0.463647609001,0.612537255628,0.000000000000,-0.682987670191,0.000000000000,1.846067727772,0.885110970717
-0.456348468557,0.604138254649,0.000000000000,-0.696371018392,0.000000000000,1.841083380550,0.885110970717
-0.448996642719,0.595981873238,0.000000000000,-0.709303606294,0.000000000000,1.836307174058,0.885110970717
-0.441592362307,0.588057544385,0.000000000000,-0.721807748054,0.000000000000,1.831727361151,0.885110970717
-0.434135884449,0.580355847397,0.000000000000,-0.733903471804,0.000000000000,1.827333334389,0.885110970717
-0.426627493127,0.572868354819,0.000000000000,-0.745608824974,0.000000000000,1.823115473796,0.885110970717
-0.419067499700,0.565587504685,0.000000000000,-0.756940128933,0.000000000000,1.819065019972,0.885110970717
-0.411456243414,0.558506493114,0.000000000000,-0.767912192879,0.000000000000,1.815173967597,0.885110970717
-0.403794091885,0.551619183428,0.000000000000,-0.778538494686,0.000000000000,1.811434975476,0.885110970717
-0.396081441564,0.544920028742,0.000000000000,-0.788831334749,0.000000000000,1.807841290099,0.885110970717
-0.388318718172,0.538404005659,0.000000000000,-0.798801967594,0.000000000000,1.804386680337,0.885110970717
-0.380506377112,0.532066557167,0.000000000000,-0.808460715064,0.000000000000,1.801065381359,0.885110970717
